Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C16, C2",C0402,3,2.2uF,C12530
"C10, C15, C18, C19, C21, C23, C26, C27, C3, C4, C5, C6, C7, C8, C9",C0402,15,100nF,C1525
"C11, C12, C13, C14, C24, C25",C0402,6,18pF,C1549
C17,C0603,1,22uF,C59461
"C20, C22, C29",C0402,3,4.7uF,C23733
CARD1,TF-SMD_TF-01A,1,TF-01A,C91145
D1,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,1,USBLC6-2SC6,C7519
L1,IND-SMD_L3.2-W2.5_CKST322512-2.2UH,1,10uH,C39846661
LED1,LED-SMD_L1.6-W0.8-R-RD,1,KT-0603R,C2286
LED2,LED0603-R-RD_WHITE,1,0603White light_C2290,C2290
"R1, R10, R11, R7, R8, R9",R0402,6,10k,C25744
R12,R0402,1,220Ω,C25091
R3,R0402,1,1kΩ,C11702
R4,R0402,1,100k,C25741
R5,R0402,1,12k,C25752
R6,R0402,1,1 MΩ,C26083
"SW1, SW2",SW-SMD_4P-L4.5-W4.5-P3.00-LS6.8,2,TS1603-TZ38HBM,C36938886
"TP1, TP2, TP3",TestPoint_Pad_2.0x2.0mm,3,TestPoint,
U1,LQFP-100_L14.0-W14.0-P0.50-LS16.0-BL,1,STM32H723VGT6,C730142
U3,QFN-32_L5.0-W5.0-P0.50-BL-EP3.4,1,USB3300-EZK-TR,C108383
U4,WSON-10_L3.0-W2.0-P0.50-BL-EP,1,TPS62177DQCR,C91241
USB1,USB-SMD_KH-USB-AM-4P-CB,1,U-USBAR04P-M001,C386752
X1,CRYSTAL-SMD_4P-L3.2-W2.5-BL,1,25mhz,C9006
X2,OSC-SMD_L3.2-W1.5,1,32.768k,C97606
X3,CRYSTAL-SMD_4P-L3.2-W2.5-BL,1,24mhz,C7420736
