Designator,Mid X,Mid Y,Rotation,Layer
C1,117.21,-48.71,180.0,top
C10,127.7,-67.32,90.0,top
C11,122.6,-66.72,270.0,top
C12,122.5,-68.98,270.0,top
C13,117.23,-66.75,180.0,top
C14,119.18,-66.6,0.0,top
C15,119.35,-75.2,90.0,top
C16,126.72,-46.85,180.0,top
C17,128.71,-46.09,180.0,top
C18,111.03,-41.95,90.0,top
C19,111.95,-47.92,90.0,top
C2,127.76,-49.7,270.0,top
C20,119.28,-48.65,180.0,top
C21,120.3,-75.18,90.0,top
C22,119.28,-47.8,180.0,top
C23,119.41,-42.36,220.0,top
C24,118.1,-46.37,90.0,top
C25,118.0,-44.58,270.0,top
C26,115.75,-68.67,90.0,top
C27,117.96,-42.73,250.0,top
C29,117.92,-76.1,0.0,top
C3,115.08,-66.75,0.0,top
C4,121.0,-69.02,90.0,top
C5,128.8,-65.4,90.0,top
C6,128.75,-50.08,270.0,top
C7,113.33,-50.0,0.0,top
C8,112.9,-64.77,90.0,top
C9,127.85,-65.4,90.0,top
CARD1,121.8,-84.93,0.0,top
D1,123.23,-42.26,240.0,top
L1,127.75,-43.65,0.0,top
LED1,113.5,-83.65,90.0,top
LED2,113.5,-87.1,270.0,top
R1,127.35,-79.35,0.0,top
R10,125.28,-79.35,180.0,top
R11,121.7,-76.5,180.0,top
R12,128.7,-68.87,90.0,top
R3,129.7,-68.93,90.0,top
R4,126.75,-45.75,0.0,top
R5,111.845,-39.1,0.0,top
R6,122.45,-44.8,90.0,top
R7,119.7,-78.05,0.0,top
R8,112.9,-69.93,270.0,top
R9,119.8,-76.55,0.0,top
SW1,114.65,-76.2,0.0,top
SW2,125.5,-76.15,0.0,top
TP1,128.0,-47.25,270.0,bottom
TP2,128.0,-52.25,270.0,bottom
TP3,128.0,-57.25,270.0,bottom
U1,121.0,-57.55,0.0,top
U3,114.5,-44.7,180.0,top
U4,124.0,-46.93,0.0,top
USB1,120.0,-37.8675,180.0,top
X1,125.1,-68.05,180.0,top
X2,118.35,-68.5,180.0,top
X3,120.25,-45.25,90.0,top
